Exch,Exchange Segment,Symbol,Token,Instrument Type,Option Type,Strike Price,Instrument Name,Formatted Ins Name,Trading Symbol,Expiry Date,Lot Size,Tick Size
NFO,nse_fo,ITC,36957,OPTSTK,CE,260,ITC LTD,ITC JUL 260 CE,ITC28JUL26C260,2026-07-28,1725,0.05
NFO,nse_fo,ITC,36958,OPTSTK,PE,260,ITC LTD,ITC JUL 260 PE,ITC28JUL26P260,2026-07-28,1725,0.05
NFO,nse_fo,ITC,36959,OPTSTK,CE,262.5,ITC LTD,ITC JUL 262.5 CE,ITC28JUL26C262.5,2026-07-28,1725,0.05
NFO,nse_fo,ITC,36961,OPTSTK,PE,262.5,ITC LTD,ITC JUL 262.5 PE,ITC28JUL26P262.5,2026-07-28,1725,0.05
NFO,nse_fo,ITC,36962,OPTSTK,CE,265,ITC LTD,ITC JUL 265 CE,ITC28JUL26C265,2026-07-28,1725,0.05
NFO,nse_fo,ITC,36963,OPTSTK,PE,265,ITC LTD,ITC JUL 265 PE,ITC28JUL26P265,2026-07-28,1725,0.05
NFO,nse_fo,ITC,36964,OPTSTK,CE,267.5,ITC LTD,ITC JUL 267.5 CE,ITC28JUL26C267.5,2026-07-28,1725,0.05
NFO,nse_fo,ITC,36968,OPTSTK,PE,267.5,ITC LTD,ITC JUL 267.5 PE,ITC28JUL26P267.5,2026-07-28,1725,0.05
NFO,nse_fo,ITC,36971,OPTSTK,CE,270,ITC LTD,ITC JUL 270 CE,ITC28JUL26C270,2026-07-28,1725,0.05
NFO,nse_fo,ITC,36972,OPTSTK,PE,270,ITC LTD,ITC JUL 270 PE,ITC28JUL26P270,2026-07-28,1725,0.05
NFO,nse_fo,ITC,36977,OPTSTK,CE,272.5,ITC LTD,ITC JUL 272.5 CE,ITC28JUL26C272.5,2026-07-28,1725,0.05
NFO,nse_fo,ITC,36979,OPTSTK,PE,272.5,ITC LTD,ITC JUL 272.5 PE,ITC28JUL26P272.5,2026-07-28,1725,0.05
NFO,nse_fo,ITC,36980,OPTSTK,CE,275,ITC LTD,ITC JUL 275 CE,ITC28JUL26C275,2026-07-28,1725,0.05
NFO,nse_fo,ITC,36981,OPTSTK,PE,275,ITC LTD,ITC JUL 275 PE,ITC28JUL26P275,2026-07-28,1725,0.05
NFO,nse_fo,ITC,36982,OPTSTK,CE,277.5,ITC LTD,ITC JUL 277.5 CE,ITC28JUL26C277.5,2026-07-28,1725,0.05
NFO,nse_fo,ITC,36983,OPTSTK,PE,277.5,ITC LTD,ITC JUL 277.5 PE,ITC28JUL26P277.5,2026-07-28,1725,0.05
NFO,nse_fo,ITC,36986,OPTSTK,CE,280,ITC LTD,ITC JUL 280 CE,ITC28JUL26C280,2026-07-28,1725,0.05
NFO,nse_fo,ITC,36990,OPTSTK,PE,280,ITC LTD,ITC JUL 280 PE,ITC28JUL26P280,2026-07-28,1725,0.05
NFO,nse_fo,ITC,36991,OPTSTK,CE,282.5,ITC LTD,ITC JUL 282.5 CE,ITC28JUL26C282.5,2026-07-28,1725,0.05
NFO,nse_fo,ITC,37004,OPTSTK,PE,282.5,ITC LTD,ITC JUL 282.5 PE,ITC28JUL26P282.5,2026-07-28,1725,0.05
NFO,nse_fo,ITC,37005,OPTSTK,CE,285,ITC LTD,ITC JUL 285 CE,ITC28JUL26C285,2026-07-28,1725,0.05
NFO,nse_fo,ITC,37008,OPTSTK,PE,285,ITC LTD,ITC JUL 285 PE,ITC28JUL26P285,2026-07-28,1725,0.05
NFO,nse_fo,ITC,37010,OPTSTK,CE,287.5,ITC LTD,ITC JUL 287.5 CE,ITC28JUL26C287.5,2026-07-28,1725,0.05
